City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,port lincoln,-34.7333,135.8667,14.73,69,97,5.42,AU,1685140727
83,bethel,41.3712,-73.414,22.25,36,0,3.09,US,1685140537
84,jambi city,-1.6,103.6167,23.37,99,99,0.2,ID,1685140727
85,borgarnes,64.5383,-21.9206,6.03,94,100,12.47,IS,1685140727
86,sabang,5.8933,95.3214,28.31,73,81,6.99,ID,1685140728
87,ambovombe,-25.1667,46.0833,18.69,82,24,2.3,MG,1685140728
88,khovd,48.0056,91.6419,5.83,79,13,0.56,MN,1685140728
89,rimouski,48.4488,-68.524,15.1,65,84,5.12,CA,1685140561
90,ta`u,-14.2336,-169.5144,28.19,75,45,6.37,AS,1685140728
91,bartica,6.4,-58.6167,27.18,98,97,1.54,GY,1685140728
92,san felipe jalapa de diaz,18.0667,-96.5333,29.73,68,76,2.72,MX,1685140728
93,dhuusamarreeb,5.535,46.3861,26.07,68,76,7.94,SO,1685140729
94,st. john's,47.5649,-52.7093,10.66,97,100,5.14,CA,1685140729
95,nur-sultan,51.1801,71.446,6.97,53,0,3.0,KZ,1685140729
96,san patricio,28.017,-97.5169,30.97,56,93,4.7,US,1685140729
97,tura,25.5198,90.2201,20.84,92,63,1.31,IN,1685140729
98,forbes,-33.3833,148.0167,7.35,71,5,1.41,AU,1685140729
99,saint-joseph,-21.3667,55.6167,20.26,84,100,4.74,RE,1685140729
100,georgetown,5.4112,100.3354,25.97,86,20,1.54,MY,1685140581
101,punta del este,-34.9667,-54.95,17.2,88,20,4.12,UY,1685140681
102,pisco,-13.7,-76.2167,22.03,68,0,7.72,PE,1685140730
103,bam,29.106,58.357,26.9,33,38,2.78,IR,1685140730
104,yung shue wan,22.2333,114.1167,27.04,87,27,0.45,HK,1685140730
105,tazacorte,28.629,-17.9293,19.54,78,0,3.09,ES,1685140730
106,penzance,50.1186,-5.5371,12.65,82,4,5.25,GB,1685140576
107,port hedland,-20.3167,118.5667,19.03,32,62,5.66,AU,1685140730
108,francistown,-21.17,27.5079,18.16,40,4,3.29,BW,1685140730
109,lukolela,-1.0605,17.1821,22.7,90,100,1.33,CD,1685140730
110,nuuk,64.1835,-51.7216,1.48,77,100,11.79,GL,1685140730
111,perry,37.2506,-83.1999,25.1,58,84,2.29,US,1685140506
112,natal,-5.795,-35.2094,27.12,89,75,4.12,BR,1685140434
113,nogliki,51.8333,143.1667,9.62,79,100,0.28,RU,1685140731
114,codrington,-38.2667,141.9667,11.06,75,100,4.95,AU,1685140731
115,kone,-21.0595,164.8658,21.2,74,91,0.38,NC,1685140731
116,ceeldheer,3.8488,47.1806,27.16,77,26,6.57,SO,1685140731
117,armacao de buzios,-22.7469,-41.8817,24.03,79,0,7.98,BR,1685140731
118,altamira,-3.2033,-52.2064,25.9,77,75,1.21,BR,1685140731
119,acarau,-2.8856,-40.12,25.74,87,97,5.04,BR,1685140732
120,gornopravdinsk,60.05,69.9,14.1,59,98,1.61,RU,1685140732
121,simanggang,1.2472,111.4528,23.99,94,97,0.0,MY,1685140732
122,aykhal,66.0,111.5,1.6,99,100,2.51,RU,1685140732
123,figuig (centre),32.1089,-1.2286,23.39,12,14,3.75,MA,1685140732
124,ambodifotatra,-16.9833,49.85,24.84,74,49,7.56,MG,1685140733
125,umm qasr,30.0405,47.9168,29.93,31,0,3.33,IQ,1685140733
126,sarupathar,26.1984,93.8094,20.79,96,50,0.52,IN,1685140733
127,ascension,30.2169,-90.9001,31.13,43,75,2.57,US,1685140733
128,westport,41.1415,-73.3579,22.93,33,0,5.14,US,1685140733
129,santa cruz de barahona,18.2085,-71.1008,29.9,70,20,7.2,DO,1685140733
130,ulety,51.3572,112.4849,3.95,62,44,2.09,RU,1685140733
131,ghat,24.9647,10.1728,25.13,18,35,4.59,LY,1685140733
132,bobo-dioulasso,11.1771,-4.2979,30.25,62,57,1.54,BF,1685140734
133,kavalerovo,44.2661,135.0572,19.92,52,49,1.47,RU,1685140734
134,labrador city,52.9463,-66.9114,14.95,33,75,5.66,CA,1685140734
135,joshimath,30.5667,79.5667,13.48,82,100,1.37,IN,1685140734
136,kingston,17.997,-76.7936,30.53,75,20,4.12,JM,1685140450
137,sinabang,2.4803,96.3801,26.34,83,94,2.34,ID,1685140734
138,plouzane,48.3833,-4.6167,13.03,82,0,6.17,FR,1685140734
139,collie,-33.3667,116.15,4.85,90,0,0.74,AU,1685140734
140,talnakh,69.4865,88.3972,3.45,85,80,4.42,RU,1685140735
141,avarua,-21.2078,-159.775,23.03,94,97,2.06,CK,1685140735
142,callao,-12.0667,-77.15,23.73,73,75,7.72,PE,1685140735
143,sint michiel liber,12.15,-68.9833,27.9,94,20,4.63,CW,1685140735
