City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
144,hannibal,39.7084,-91.3585,25.51,16,0,3.09,US,1685140492
145,mount ivy,41.1868,-74.0349,22.5,36,4,1.96,US,1685140735
146,icheu,7.7067,6.7718,26.49,89,78,1.63,NG,1685140735
147,alo,7.4178,6.7371,25.83,91,65,1.93,NG,1685140735
148,taoudenni,22.6783,-3.9836,29.9,31,97,5.29,ML,1685140735
149,padang,-0.9492,100.3543,25.68,87,100,1.17,ID,1685140736
150,afaahiti,-17.75,-149.2833,28.92,76,77,6.29,PF,1685140736
151,lazaro cardenas,17.9583,-102.2,30.32,58,55,3.44,MX,1685140736
152,bel ombre,-4.6167,55.4167,27.91,69,40,8.23,SC,1685140736
153,udachny,66.4167,112.4,3.03,80,100,4.31,RU,1685140736
154,stanley,54.868,-1.6985,13.07,88,82,1.93,GB,1685140736
155,muswellbrook,-32.2667,150.9,9.63,73,1,1.69,AU,1685140736
156,al wajh,26.2455,36.4525,27.97,57,0,1.54,SA,1685140736
157,nadym,65.5333,72.5167,13.29,61,65,7.89,RU,1685140737
158,okha,53.5739,142.9478,4.41,90,100,2.19,RU,1685140737
159,juan griego,11.0817,-63.9655,31.07,70,56,8.23,VE,1685140737
160,tahe,52.3333,124.7333,4.4,98,100,2.3,CN,1685140737
161,fort bragg,35.139,-79.006,19.32,44,20,7.72,US,1685140729
162,igarka,67.4667,86.5833,5.71,83,30,4.17,RU,1685140737
163,bryan,30.6744,-96.37,31.86,36,0,2.57,US,1685140737
164,arraial do cabo,-22.9661,-42.0278,22.92,83,0,5.66,BR,1685140737
165,farafangana,-22.8167,47.8333,20.16,90,81,0.9,MG,1685140738
166,rovaniemi,66.5,25.7167,3.67,70,0,2.06,FI,1685140738
167,idri,27.5,13.2667,23.51,37,1,8.51,LY,1685140738
168,mount vernon,40.9126,-73.8371,23.8,32,20,5.66,US,1685140738
169,weno,7.4515,151.8468,28.97,79,100,2.57,FM,1685140738
170,armstrong,-32.7822,-61.6022,15.92,91,80,3.91,AR,1685140738
171,crescent city,41.756,-124.2018,14.3,86,100,2.57,US,1685140738
172,williams lake,52.1415,-122.1445,28.92,28,40,4.63,CA,1685140555
173,nar'yan-mar,67.6713,53.087,7.9,64,20,6.91,RU,1685140738
174,magadan,59.5667,150.8,11.41,76,57,0.48,RU,1685140739
175,puerto ayora,-0.7393,-90.3518,29.98,90,71,2.68,EC,1685140739
176,susuman,62.7833,148.1667,5.3,58,10,3.0,RU,1685140739
177,kayangel,8.0823,134.7173,28.85,81,94,12.64,PW,1685140739
178,mount isa,-20.7333,139.5,9.87,46,2,3.6,AU,1685140739
179,kennett square,39.8468,-75.7116,23.31,35,0,0.0,US,1685140630
180,murzuq,25.9155,13.9184,24.77,21,82,6.1,LY,1685140739
181,norfolk,42.1668,-71.2495,21.0,50,0,4.63,US,1685140489
182,sitka,57.0531,-135.33,8.94,81,75,4.12,US,1685140600
183,koumra,8.9126,17.5539,27.23,62,96,1.55,TD,1685140739
184,malanville,11.8685,3.3899,31.83,50,83,5.47,BJ,1685140740
185,colonia,50.9333,6.95,12.2,66,0,2.06,DE,1685140740
186,san antonio de pale,-1.4014,5.6325,26.13,84,82,7.95,GQ,1685140740
187,bay roberts,47.5999,-53.2648,10.86,96,100,1.79,CA,1685140740
188,rosarito,32.3333,-117.0333,21.46,69,2,5.87,MX,1685140740
189,san rafael del yuma,18.4299,-68.6739,30.11,76,7,3.54,DO,1685140740
190,luderitz,-26.6481,15.1594,12.1,58,45,4.57,NA,1685140740
191,ryotsu-minato,38.0833,138.4333,18.71,81,70,2.76,JP,1685140740
192,bengkulu,-3.8004,102.2655,24.66,92,98,1.61,ID,1685140612
193,onverwacht,5.5833,-55.1833,25.92,100,75,2.06,SR,1685140741
194,las heras,-46.5419,-68.9359,1.43,38,16,3.43,AR,1685140741
195,sogndal,61.2283,7.1003,9.21,75,100,2.06,NO,1685140741
196,wattens,47.2722,11.5993,14.95,67,75,1.03,AT,1685140741
197,wynyard,-41.0,145.7167,9.43,79,93,5.3,AU,1685140741
198,margate,51.3813,1.3862,11.61,81,14,4.02,GB,1685140741
199,mili,6.0815,171.735,27.83,78,100,5.68,MH,1685140742
200,zhaotong,27.3167,103.7167,14.64,87,13,1.06,CN,1685140742
201,smithers,54.7804,-127.1743,18.18,52,75,1.03,CA,1685140742
202,yulinshi,38.2906,109.7494,13.13,80,100,4.2,CN,1685140742
203,edd,13.9297,41.6925,31.49,60,14,6.57,ER,1685140742
204,badger,64.8,-147.5333,17.14,64,100,7.2,US,1685140742
205,kosan,38.8558,127.4181,19.51,69,95,1.85,KP,1685140742
206,changping,40.2186,116.2197,19.8,60,100,2.86,CN,1685140743
207,newnham,-41.3833,147.1333,10.73,83,75,5.14,AU,1685140743
208,plettenberg bay,-34.0527,23.3716,11.89,63,0,2.54,ZA,1685140743
209,neftcala,39.3742,49.2472,21.29,73,86,4.3,AZ,1685140744
